Aluminum.Band,BirdSex,Age,Recapture,Mass,Tail,Wing.LEFT,Wing.RIGHT,Tarsus1,Tarsus2,Bill.Depth,Bill.Width,Bill.Length_culmen,Bill.Length_nares,Date.Banded_date,Year,OrdinalDay
2730-36260,U,U,No,8.7,NA,NA,NA,16.5,NA,NA,NA,NA,NA,2014-06-24,2014,175
2730-36261,U,U,No,8.6,NA,NA,NA,17,NA,NA,NA,NA,NA,2014-06-24,2014,175
2730-36262,F,U,Yes,11.1,50.5,NA,61.5,17,17,NA,NA,NA,NA,2014-06-24,2014,175
2730-36263,U,U,No,6.9,NA,NA,NA,14,NA,NA,NA,NA,NA,2014-06-24,2014,175
2730-36264,U,U,No,5.5,NA,NA,NA,13.5,NA,NA,NA,NA,NA,2014-06-24,2014,175
2730-36265,U,U,No,9.9,NA,NA,NA,18,NA,NA,NA,NA,NA,2014-06-25,2014,176
2730-36266,U,U,No,9.4,NA,NA,NA,17.53,NA,NA,NA,NA,NA,2014-06-25,2014,176
2730-36267,U,U,No,NA,NA,NA,NA,16.43,NA,NA,NA,NA,NA,2014-06-26,2014,177
2730-36268,U,U,No,NA,NA,NA,NA,NA,18.03,NA,NA,NA,NA,2014-06-26,2014,177
2730-36269,U,U,No,NA,NA,NA,NA,NA,17.88,NA,NA,NA,NA,2014-06-26,2014,177
2730-36270,U,U,No,NA,NA,NA,NA,17.11,NA,NA,NA,NA,NA,2014-06-26,2014,177
2730-36271,M,U,Yes,8.2,52,NA,66,18.33,18.03,NA,NA,NA,NA,2014-06-27,2014,178
2730-36272,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-27,2014,178
2730-36273,F,U,No,NA,46,NA,60,18.39,18.4,NA,NA,NA,NA,2014-06-27,2014,178
2730-36274,U,U,No,8.5,NA,NA,NA,14.67,NA,NA,NA,NA,NA,2014-06-28,2014,179
2730-36275,U,U,No,7.5,NA,NA,NA,14.04,NA,NA,NA,NA,NA,2014-06-28,2014,179
2730-36276,U,U,No,8.5,NA,NA,NA,NA,16.09,NA,NA,NA,NA,2014-06-28,2014,179
2730-36277,U,U,No,6.5,NA,NA,NA,NA,13.91,NA,NA,NA,NA,2014-06-28,2014,179
2730-36278,U,U,No,8,NA,NA,NA,NA,17.58,NA,NA,NA,NA,2014-06-28,2014,179
2730-36280,F,U,No,11.5,48,NA,61,17.91,17.89,NA,NA,NA,NA,2014-06-29,2014,180
2730-36281,U,U,No,7.3,NA,NA,NA,NA,15.71,NA,NA,NA,NA,2014-06-30,2014,181
2730-36282,U,U,No,7,NA,NA,NA,NA,15.11,NA,NA,NA,NA,2014-06-30,2014,181
2730-36283,U,U,No,9.4,NA,NA,NA,NA,16.32,NA,NA,NA,NA,2014-06-30,2014,181
2730-36284,F,U,No,11.5,46,NA,62,18.59,18.51,NA,NA,NA,NA,2014-07-01,2014,182
2730-36285,U,U,No,9.9,NA,NA,NA,NA,17.68,NA,NA,NA,NA,2014-07-01,2014,182
2730-36286,U,U,No,9.5,NA,NA,NA,NA,18.97,NA,NA,NA,NA,2014-07-01,2014,182
2730-36287,U,U,No,10,NA,NA,NA,NA,18.04,NA,NA,NA,NA,2014-07-01,2014,182
2730-36288,U,U,No,8.5,NA,NA,NA,NA,15.1,NA,NA,NA,NA,2014-07-02,2014,183
2730-36289,U,U,No,7,NA,NA,NA,NA,13.92,NA,NA,NA,NA,2014-07-02,2014,183
2730-36290,F,U,No,11.5,50,NA,60,18.95,18.85,NA,NA,NA,NA,2014-07-02,2014,183
2730-36291,U,U,No,9.5,NA,NA,NA,NA,18.03,NA,NA,NA,NA,2014-07-02,2014,183
2730-36292,U,U,No,8.3,NA,NA,NA,NA,16.71,NA,NA,NA,NA,2014-07-03,2014,184
2730-36293,U,U,No,8,NA,NA,NA,NA,16.65,NA,NA,NA,NA,2014-07-03,2014,184
2730-36294,U,U,No,7,NA,NA,NA,NA,14.2,NA,NA,NA,NA,2014-07-04,2014,185
2730-36295,U,U,No,7.5,NA,NA,NA,13.29,NA,NA,NA,NA,NA,2014-07-04,2014,185
2730-36296,U,U,No,8,NA,NA,NA,15.16,NA,NA,NA,NA,NA,2014-07-04,2014,185
2730-36297,U,U,No,6.75,NA,NA,NA,15.16,NA,NA,NA,NA,NA,2014-07-04,2014,185
2730-36298,U,U,No,7,NA,NA,NA,15.18,NA,NA,NA,NA,NA,2014-07-04,2014,185
2730-36299,U,U,No,7.75,NA,NA,NA,NA,15.57,NA,NA,NA,NA,2014-07-04,2014,185
2730-36300,F,U,No,9.6,46,NA,59,18.91,18.92,NA,NA,NA,NA,2014-07-05,2014,186
2730-36301,M,U,Yes,9.2,48,NA,61,NA,17.82,NA,NA,NA,NA,2014-07-09,2014,190
2730-36301,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-28,2014,179
2730-36302,U,U,No,7.2,NA,NA,NA,16.12,NA,NA,NA,NA,NA,2014-07-09,2014,190
2730-36303,U,U,No,6.3,NA,NA,NA,15.96,NA,NA,NA,NA,NA,2014-07-09,2014,190
2730-36304,U,U,No,6.5,NA,NA,NA,14.89,NA,NA,NA,NA,NA,2014-07-09,2014,190
2730-36305,U,U,No,7.2,NA,NA,NA,16.15,NA,NA,NA,NA,NA,2014-07-09,2014,190
2730-36306,F,U,No,9.4,51,NA,60,NA,18.29,NA,NA,NA,NA,2014-07-09,2014,190
2730-36306,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-17,2014,168
2730-36307,F,U,No,9.2,51,NA,61,18,18.2,NA,NA,NA,NA,2014-07-12,2014,193
2730-36308,U,U,No,7.8,NA,NA,NA,16.5,16.69,NA,NA,NA,NA,2014-07-12,2014,193
2730-36309,M,U,No,9.8,50,NA,61.5,18.53,18.39,NA,NA,NA,NA,2014-07-18,2014,199
2730-36310,M,U,No,9.8,52,NA,62,16.65,16.72,NA,NA,NA,NA,2014-07-18,2014,199
2730-36311,U,U,No,8.3,NA,NA,NA,NA,16.49,NA,NA,NA,NA,2014-07-29,2014,210
2730-36312,U,U,No,7.3,NA,NA,NA,NA,16,NA,NA,NA,NA,2014-07-29,2014,210
2730-36313,U,U,No,8.7,NA,NA,NA,NA,17.62,NA,NA,NA,NA,2014-07-29,2014,210
2730-36314,U,U,No,8.4,NA,NA,NA,NA,16.81,NA,NA,NA,NA,2014-07-29,2014,210
UB14-00066,U,U,No,7.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-03,2014,215
UB14-H0005,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-04,2014,124
UB14-H0010,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-10,2014,130
UB14-H0011,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-11,2014,131
UB14-H0012,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-11,2014,131
UB14-H0014,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-12,2014,132
UB14-H0015,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-12,2014,132
UB14-H0017,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-12,2014,132
UB14-H0018,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-12,2014,132
UB14-H0019,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-13,2014,133
UB14-H0020,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-13,2014,133
UB14-H0021,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-03,2014,154
UB14-H0027,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-13,2014,133
UB14-H0028,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-13,2014,133
UB14-H0033,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-14,2014,134
UB14-H0034,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-14,2014,134
UB14-H0036,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-14,2014,134
UB14-H0037,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-14,2014,134
UB14-H0040,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-15,2014,135
UB14-H0042,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-16,2014,136
UB14-H0045,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-16,2014,136
UB14-H0051,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-18,2014,138
UB14-H0054,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-18,2014,138
UB14-H0055,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-18,2014,138
UB14-H0060,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-21,2014,141
UB14-H0061,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-21,2014,141
UB14-H0062,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-21,2014,141
UB14-H0063,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-21,2014,141
UB14-H0064,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-22,2014,142
UB14-H0065,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-22,2014,142
UB14-H0068,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-25,2014,145
UB14-H0069,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-26,2014,146
UB14-H0070,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-26,2014,146
UB14-H0071,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-26,2014,146
UB14-H0074,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-27,2014,147
UB14-H0075,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-27,2014,147
UB14-H0076,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-30,2014,150
UB14-H0077,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-30,2014,150
UB14-H0079,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-04,2014,155
UB14-H0080,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-05,2014,156
UB14-H0081,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-17,2014,168
UB14-H0082,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-17,2014,168
UB14-H0088,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-29,2014,180
UB14-H0091,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-26,2014,207
UB14-M0012,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-08,2014,128
UB14-M0020,M,U,No,9.12,47,NA,63,18.42,18.39,NA,NA,NA,NA,2014-06-08,2014,159
UB14-M0057,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-18,2014,138
UB14-M0060,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-18,2014,138
UB14-M0063,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-15,2014,135
UB14-M0069,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-M0070,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-M0071,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-22,2014,142
UB14-M0072,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-21,2014,141
UB14-M0084,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-25,2014,145
UB14-M0089,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-27,2014,147
UB14-M0094,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-27,2014,147
UB14-M0101,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-04,2014,155
UB14-m0108,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-25,2014,176
UB14-m0109,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-26,2014,177
UB14-m0113,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-30,2014,181
UB14-M0114,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-11,2014,192
UB14-m0116,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-27,2014,178
UB14-m0117,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-15,2014,166
UB14-R0002,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-11,2014,131
UB14-R0003,F,U,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-11,2014,131
UB14-R0004,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-12,2014,132
UB14-R0005,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-12,2014,132
UB14-R0008,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-12,2014,132
UB14-R0011,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-13,2014,133
UB14-R0019,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-15,2014,135
UB14-R0020,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-15,2014,135
UB14-R0021,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-15,2014,135
UB14-R0026,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-R0027,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-R0028,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-R0029,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-R0031,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-R0032,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-20,2014,140
UB14-R0034,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-22,2014,142
UB14-R0036,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-22,2014,142
UB14-R0040,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-25,2014,145
UB14-R0044,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-27,2014,147
UB14-R0047,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-27,2014,147
UB14-R0049,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-01,2014,152
UB14-R0050,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-01,2014,152
UB14-R0051,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-01,2014,152
UB14-R0052,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-02,2014,153
UB14-R0053,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-02,2014,153
UB14-R0055,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-31,2014,151
UB14-R0057,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-15,2014,166
UB14-R0062,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-06-02,2014,153
UB14-R0063,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-20,2014,201
UB14-R0064,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-20,2014,201
UB14-r0065,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-23,2014,204
2710-48982,M,U,Yes,9.5,47,NA,63,18.33,18.28,NA,NA,NA,NA,2015-05-15,2015,135
2710-50048,M,U,No,9.54,50,NA,64,18.42,18.45,NA,NA,NA,NA,2015-05-10,2015,130
2710-50049,M,U,No,8.9,42,NA,62,19.03,18.83,NA,NA,NA,NA,2015-05-11,2015,131
2710-50049,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-05-11,2015,131
2710-50050,M,U,No,10.08,49,NA,64,18.2,18.32,NA,NA,NA,NA,2015-05-12,2015,132
2710-50051,M,U,No,9.94,51,NA,65,NA,NA,NA,NA,NA,NA,2015-05-12,2015,132
2710-50052,M,U,Yes,9.74,48,NA,63,18.25,18.27,NA,NA,NA,NA,2015-05-14,2015,134
2710-50053,M,U,No,9.32,48,NA,63,18.67,18.63,NA,NA,NA,NA,2015-05-15,2015,135
2710-50054,M,U,No,9.41,49,NA,65,19.11,19.13,NA,NA,NA,NA,2015-05-15,2015,135
2710-50055,M,U,No,9.27,47,NA,65,18.79,18.76,NA,NA,NA,NA,2015-05-15,2015,135
2710-50056,M,U,No,9.28,43,NA,63,18.24,18.26,NA,NA,NA,NA,2015-05-16,2015,136
2710-50057,F,U,No,9.88,43,NA,60,18.48,18.49,NA,NA,NA,NA,2015-05-17,2015,137
2710-50058,M,U,No,8.76,45,NA,58,17.36,17.33,NA,NA,NA,NA,2015-05-20,2015,140
2710-50059,M,U,No,9.1,48,NA,65,17.87,17.83,NA,NA,NA,NA,2015-05-20,2015,140
2710-50060,M,U,No,9.76,50,NA,64,18.31,18.36,NA,NA,NA,NA,2015-05-20,2015,140
2710-50061,M,U,No,8.92,47,NA,63,18.14,18.15,NA,NA,NA,NA,2015-05-22,2015,142
2710-50062,M,U,No,9.52,49,NA,63,17.84,17.81,NA,NA,NA,NA,2015-05-22,2015,142
2710-50063,M,U,No,9.12,47,NA,64,18.38,18.32,NA,NA,NA,NA,2015-05-25,2015,145
2710-50064,M,U,No,9.31,45,NA,62,18.57,18.51,NA,NA,NA,NA,2015-05-25,2015,145
2710-50065,M,U,No,9.45,45,NA,62,18.81,18.84,NA,NA,NA,NA,2015-05-26,2015,146
2710-50066,M,U,No,9.59,43,NA,63,17.61,17.5,NA,NA,NA,NA,2015-06-03,2015,154
2710-50067,M,U,No,9.6,45,NA,64,18.12,18.14,NA,NA,NA,NA,2015-06-04,2015,155
2710-50190,F,U,Yes,10.99,47,NA,61,18.83,18.9,NA,NA,NA,NA,2015-05-30,2015,150
2730-35831,M,U,No,NA,45,NA,65,18.48,18.49,NA,NA,NA,NA,2015-06-07,2015,158
2730-35832,F,U,No,NA,46,NA,62,18.23,18.27,NA,NA,NA,NA,2015-06-07,2015,158
2730-35833,F,U,No,NA,43,NA,60,18.04,18.01,NA,NA,NA,NA,2015-06-07,2015,158
2730-35834,M,U,Yes,NA,44,NA,66,18.74,18.7,NA,NA,NA,NA,2015-06-07,2015,158
2730-35835,F,U,Yes,NA,41,NA,62,17.79,17.8,NA,NA,NA,NA,2015-06-07,2015,158
2730-35836,F,U,No,9.98,44,NA,61,19.14,19.13,NA,NA,NA,NA,2015-06-08,2015,159
2730-35837,F,U,No,10.12,48,NA,59,18.4,18.38,NA,NA,NA,NA,2015-06-08,2015,159
2730-35838,F,U,Yes,10.13,46,NA,60,17.63,17.61,NA,NA,NA,NA,2015-06-10,2015,161
2730-35839,F,U,Yes,11.85,47.5,61,NA,18.86,18.88,NA,NA,NA,NA,2015-06-10,2015,161
2730-35840,F,U,No,10.64,50,NA,62,18.06,18.18,NA,NA,NA,NA,2015-06-12,2015,163
2730-35841,F,U,No,10.55,46.5,NA,60,18.22,18.19,NA,NA,NA,NA,2015-06-12,2015,163
2730-35842,F,U,No,9.97,46,NA,61,18.57,18.59,NA,NA,NA,NA,2015-06-13,2015,164
2730-35843,M,U,No,9.15,46,NA,61,19.27,19.24,NA,NA,NA,NA,2015-06-14,2015,165
2730-35844,F,U,No,10.15,47,NA,62,18.64,18.67,NA,NA,NA,NA,2015-06-14,2015,165
2730-35845,F,U,No,11.21,47.5,NA,62,18.53,18.54,NA,NA,NA,NA,2015-06-14,2015,165
2730-35846,M,U,No,9.48,47,NA,63.5,18.89,18.91,NA,NA,NA,NA,2015-06-14,2015,165
2730-35847,M,U,No,9.33,46,NA,64,18.03,18.04,NA,NA,NA,NA,2015-06-17,2015,168
2730-35848,F,U,No,11,45,NA,60,18.19,18.15,NA,NA,NA,NA,2015-06-17,2015,168
2730-35849,M,U,No,9.59,47,NA,63,18.51,18.57,NA,NA,NA,NA,2015-06-17,2015,168
2730-35850,M,U,No,10.77,45,NA,63,18.88,18.88,NA,NA,NA,NA,2015-06-17,2015,168
2730-35851,M,U,No,9.59,47,NA,58,17.93,17.87,NA,NA,NA,NA,2015-06-18,2015,169
2730-35852,U,U,No,6.58,NA,NA,NA,12.56,NA,NA,NA,NA,NA,2015-06-20,2015,171
2730-35853,U,U,No,6.86,NA,NA,NA,14.55,NA,NA,NA,NA,NA,2015-06-19,2015,170
2730-35854,U,U,No,7.01,NA,NA,NA,NA,13.94,NA,NA,NA,NA,2015-06-19,2015,170
2730-35855,U,U,No,6.51,NA,NA,NA,NA,15.5,NA,NA,NA,NA,2015-06-20,2015,171
2730-35856,U,U,No,6.87,NA,NA,NA,NA,15.58,NA,NA,NA,NA,2015-06-20,2015,171
2730-35857,F,U,No,9.44,45,NA,58,18.36,18.38,NA,NA,NA,NA,2015-06-20,2015,171
2730-35858,U,U,No,7.1,NA,NA,NA,NA,14.6,NA,NA,NA,NA,2015-06-20,2015,171
2730-35859,U,U,No,6.91,NA,NA,NA,NA,14.19,NA,NA,NA,NA,2015-06-20,2015,171
2730-35860,U,U,No,8.46,NA,NA,NA,NA,16.48,NA,NA,NA,NA,2015-06-20,2015,171
2730-35861,U,U,No,7.15,NA,NA,22.5,NA,13.92,NA,NA,NA,NA,2015-06-21,2015,172
2730-35862,U,U,No,6.18,NA,NA,NA,NA,13.76,NA,NA,NA,NA,2015-06-21,2015,172
2730-35863,U,U,No,6.69,NA,NA,NA,NA,14.21,NA,NA,NA,NA,2015-06-21,2015,172
2730-35864,U,U,No,5.87,NA,NA,NA,NA,13.58,NA,NA,NA,NA,2015-06-21,2015,172
2730-35865,U,U,No,7.69,NA,NA,NA,NA,15.13,NA,NA,NA,NA,2015-06-21,2015,172
2730-35866,U,U,No,7.59,NA,NA,NA,NA,15.69,NA,NA,NA,NA,2015-06-21,2015,172
2730-35867,U,U,No,7.75,NA,NA,NA,NA,15.17,NA,NA,NA,NA,2015-06-21,2015,172
2730-35868,U,U,No,8.81,NA,NA,NA,16.3,NA,NA,NA,NA,NA,2015-06-21,2015,172
2730-35869,U,U,No,8.28,NA,NA,NA,16.12,NA,NA,NA,NA,NA,2015-06-21,2015,172
2730-35870,F,U,No,9.61,46,NA,62.5,19.03,19.13,NA,NA,NA,NA,2015-06-22,2015,173
2730-35871,F,U,No,9.99,47.5,NA,62,18.82,18.86,NA,NA,NA,NA,2015-06-22,2015,173
2730-35872,U,U,No,8.71,NA,NA,NA,NA,17.24,NA,NA,NA,NA,2015-06-22,2015,173
2730-35873,U,U,No,9.53,NA,NA,NA,NA,17.29,NA,NA,NA,NA,2015-06-22,2015,173
2730-35874,U,U,No,8.48,NA,NA,NA,NA,17.25,NA,NA,NA,NA,2015-06-22,2015,173
2730-35875,U,U,No,7.93,NA,NA,NA,NA,16.13,NA,NA,NA,NA,2015-06-22,2015,173
2730-35876,U,U,No,8.15,NA,NA,NA,NA,17.08,NA,NA,NA,NA,2015-06-22,2015,173
2730-35877,U,U,No,8.5,NA,NA,NA,NA,17,NA,NA,NA,NA,2015-06-22,2015,173
2730-35878,U,U,No,8.54,NA,NA,NA,NA,14.84,NA,NA,NA,NA,2015-06-22,2015,173
2730-35879,U,U,No,8.3,NA,NA,NA,NA,17.14,NA,NA,NA,NA,2015-06-23,2015,174
2730-35880,U,U,No,7.42,NA,NA,NA,NA,17,NA,NA,NA,NA,2015-06-23,2015,174
2730-35881,U,U,No,8.18,NA,NA,NA,NA,17.17,NA,NA,NA,NA,2015-06-23,2015,174
2730-35882,U,U,No,7.16,NA,NA,NA,NA,16.37,NA,NA,NA,NA,2015-06-23,2015,174
2730-35883,U,U,No,7.88,NA,NA,NA,NA,15.76,NA,NA,NA,NA,2015-06-23,2015,174
2730-35884,U,U,No,7.67,NA,NA,NA,NA,15.56,NA,NA,NA,NA,2015-06-23,2015,174
2730-35885,U,U,No,7.87,NA,NA,NA,NA,15.98,NA,NA,NA,NA,2015-06-23,2015,174
2730-35886,U,U,No,7.58,NA,NA,NA,NA,15.77,NA,NA,NA,NA,2015-06-23,2015,174
2730-35887,U,U,No,9.62,NA,NA,NA,NA,18.35,NA,NA,NA,NA,2015-06-24,2015,175
2730-35888,U,U,No,9.78,NA,NA,NA,NA,18.44,NA,NA,NA,NA,2015-06-24,2015,175
2730-35889,M,U,No,9.69,47.5,NA,64,NA,18.96,NA,NA,NA,NA,2015-06-24,2015,175
2730-35890,F,U,No,9.52,45,NA,56,18.19,18.21,NA,NA,NA,NA,2015-06-24,2015,175
2730-35891,U,U,No,8.48,NA,NA,NA,NA,16.2,NA,NA,NA,NA,2015-06-24,2015,175
2730-35892,U,U,No,6.67,NA,NA,NA,NA,15.19,NA,NA,NA,NA,2015-06-24,2015,175
2730-35893,U,U,No,7.44,NA,NA,NA,NA,16.1,NA,NA,NA,NA,2015-06-24,2015,175
2730-35894,U,U,No,6.64,NA,NA,NA,16.04,NA,NA,NA,NA,NA,2015-06-24,2015,175
2730-35895,F,U,No,11.66,46,NA,62.5,18.57,18.85,NA,NA,NA,NA,2015-06-26,2015,177
2730-35896,F,U,Yes,9.71,46,NA,61,18.36,18.42,NA,NA,NA,NA,2015-06-26,2015,177
2730-35897,M,U,No,9.72,52,NA,64,17.94,17.83,NA,NA,NA,NA,2015-06-25,2015,176
2730-35898,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-25,2015,176
2730-35899,F,U,No,10.56,NA,NA,NA,19.1,19.12,NA,NA,NA,NA,2015-06-27,2015,178
2730-35900,U,U,No,8.58,NA,NA,NA,NA,16.89,NA,NA,NA,NA,2015-06-28,2015,179
2730-35931,M,U,No,9.14,46,NA,67,17.98,17.94,2.84,2.75,10.33,7.39,2015-05-15,2015,135
2730-35932,F,U,No,9.41,47,NA,63,18.26,18.41,2.76,2.56,10.48,7.66,2015-05-16,2015,136
2730-35933,M,U,No,9.34,47,NA,66,19.7,19.58,2.8,2.78,10.31,6.86,2015-05-16,2015,136
2730-35934,M,U,No,9.76,46,NA,65,19.36,19.4,2.8,3.28,9.75,7.33,2015-05-16,2015,136
2730-35935,M,U,No,8.69,48,NA,65,18.69,18.45,2.78,2.7,9.82,7.83,2015-05-17,2015,137
